ID,ScanNumber,Ketamine,Dexdomitor,Atipamezole,Isoflurane
2,1,0.0,0.0,0.0,0.0
2,2,30.0,0.03,0.15,0.0
2,3,45.0,0.045,0.3,0.0
2,4,60.0,0.06,0.44999999999999996,0.0
2,5,75.0,0.075,0.6,0.0
1,1,0.0,0.0,0.0,0.0
1,2,20.0,0.015,0.15,0.0
1,3,35.0,0.03,0.3,0.0
1,4,50.0,0.045,0.44999999999999996,0.0
1,5,65.0,0.06,0.6,0.0
4,1,0.0,0.0,0.0,0.0
4,2,15.0,0.015,0.15,0.0
4,3,30.0,0.03,0.3,0.0
4,4,45.0,0.045,0.44999999999999996,0.0
4,5,65.0,0.06,0.6,0.0
5,1,0.0,0.0,0.0,0.0
5,2,15.0,0.015,0.15,0.0
5,3,30.0,0.03,0.3,0.0
5,4,70.0,0.06,0.6,0.0
5,5,85.0,0.075,0.75,0.0
6,1,0.0,0.0,0.0,0.0
6,2,15.0,0.015,0.15,0.0
6,3,35.0,0.03,0.3,0.0
6,4,50.0,0.045,0.44999999999999996,0.0
6,5,65.0,0.06,0.6,0.0
7,1,0.0,0.0,0.0,0.0
7,2,15.0,0.015,0.15,0.0
7,3,30.0,0.03,0.3,0.0
7,4,50.0,0.045,0.44999999999999996,0.0
7,5,65.0,0.06,0.6,0.0
8,1,0.0,0.0,0.0,0.0
8,2,25.0,0.015,0.15,0.0
8,3,50.0,0.045,0.44999999999999996,0.0
8,4,69.0,0.06,0.6,0.0
8,5,84.0,0.075,0.75,0.0
10,1,0.0,0.0,0.0,0.0
10,2,15.0,0.015,0.15,0.0
10,3,30.0,0.03,0.3,0.0
10,4,45.0,0.045,0.44999999999999996,0.0
10,5,60.0,0.06,0.6,0.0
12,1,0.0,0.0,0.0,0.0
12,2,15.0,0.015,0.15,0.0
12,3,35.0,0.03,0.3,0.0
12,4,50.0,0.045,0.44999999999999996,0.0
12,5,65.0,0.06,0.6,0.0
11,1,0.0,0.0,0.0,0.0
11,2,30.0,0.015,0.15,0.0
11,3,45.0,0.03,0.3,0.0
11,4,60.0,0.045,0.44999999999999996,0.0
11,5,75.0,0.06,0.6,0.0
13,1,0.0,0.0,0.0,0.0
13,2,15.0,0.0,0.0,1.25
13,3,30.0,0.015,0.15,1.25
13,4,45.0,0.03,0.3,1.25
13,5,60.0,0.045,0.44999999999999996,1.25
14,1,0.0,0.0,0.0,0.0
14,2,10.0,0.0,0.0,1.25
14,3,25.0,0.015,0.15,1.25
